id_servico,id_cliente,tipo_servico,subtipo,descricao_detalhada,unidade_medida,quantidade,valor_unitario_aplicado,valor_total,data_execucao,status
359,192,Divisória Drywall,,"Divisória Drywall - cozinha, conforme orçamento aprovado.",metro quadrado,19.1,130.0,2483.0,2025-05-29,Concluido
360,133,Moldura de Gesso,10cm,Execução de moldura de gesso em fachada comercial.,metro linear,39.37,15.0,590.55,2026-07-23,concluído
361,300,Forro Drywall,,"Forro Drywall - sala de estar, conforme orçamento aprovado.",m2,23.02,80.98,1864.16,2024-09-29,concluído
362,267,Forro Drywall,,Execução de forro drywall em galpão industrial.,metro quadrado,83.94,,,2025-04-29,concluído
363,194,Gesso Liso,Parede Pintada,Execução de gesso liso em cozinha.,metro quadrado,53.48,23.13,1236.99,2024-01-04,concluído
364,128,divisória drywall,,"Serviço de divisória drywall solicitado para galpão industrial, imóvel residencial.",metro quadrado,33.84,130.0,4399.2,2025-05-01,concluído
365,167,Boiserie,,"Boiserie - corredor, conforme orçamento aprovado.",metro linear,28.08,150.0,4212.0,2026-01-26,concluído
366,151,Moldura de Gesso,7cm,"Moldura de Gesso - quarto principal, conforme orçamento aprovado.",metro linear,25.47,12.83,326.78,2026-03-14,Concluido
367,240,Boiserie,,"Boiserie - quarto principal, conforme orçamento aprovado.",metro linear,9.22,150.0,1383.0,2025-11-09,concluído
368,168,Gesso 3D,,"Gesso 3D - cozinha, conforme orçamento aprovado.",metro quadrado,77.11,180.0,13879.8,2024-09-20,concluído
369,171,Sanca,,"Sanca - recepção da loja, conforme orçamento aprovado.",metro linear,35.26,95.02,3350.41,2025-10-21,concluído
370,120,Forro Drywall,,Execução de forro drywall em quarto principal.,metro quadrado,22.11,95.0,2100.45,2024-04-01,concluído
371,296,Boiserie,,Execução de boiserie em galpão industrial.,metro linear,30.27,150.0,4540.5,2024-07-13,concluído
372,114,Gesso Liso,Parede de Tijolo,"Serviço de gesso liso solicitado para corredor, imóvel residencial.",metro quadrado,0.0,27.87,,2026-04-15,Concluido
373,18,Gesso Liso,Parede Pintada,"Gesso Liso - escritório, conforme orçamento aprovado.",metro quadrado,52.51,,,2024-05-06,concluído
374,171,Sanca,,"Sanca - cozinha, conforme orçamento aprovado.",metro linear,8.65,102.94,890.43,2024-08-18,concluído
375,338,Boiserie,,"Boiserie - recepção da loja, conforme orçamento aprovado.",metro linear,36.76,150.0,5514.0,2025-02-05,concluído
376,100,Divisória Drywall,,Execução de divisória drywall em fachada comercial.,metro quadrado,60.79,130.0,7902.7,2024-11-27,concluído
377,248,Forro Drywall,,Execução de forro drywall em área externa.,metro quadrado,27.58,95.0,2620.1,2026-02-05,concluído
378,87,Boiserie,,Execução de boiserie em galpão industrial.,metro linear,37.26,,,2024-07-02,Concluido
379,18,Forro Drywall,,"Forro Drywall - quarto principal, conforme orçamento aprovado.",metro quadrado,13.62,95.0,1293.9,2025-09-02,CONCLUÍDO
380,228,Gesso Liso,Parede de Tijolo,"Gesso Liso - área externa, conforme orçamento aprovado.",metro quadrado,33.75,30.0,1012.5,2025-05-15,concluído
381,49,Gesso Liso,Parede Pintada,"Gesso Liso - galpão industrial, conforme orçamento aprovado.",metro quadrado,68.34,22.0,1503.48,2025-10-22,concluído
382,11,Moldura de Gesso,15cm,Execução de moldura de gesso em quarto principal.,metro linear,17.57,16.7,293.42,2024-03-06,concluído
383,93,Moldura de Gesso,20cm,Execução de moldura de gesso em escritório.,metro linear,34.89,20.0,697.8,2025-04-02,concluído
384,18,Moldura de Gesso,15cm,Execução de moldura de gesso em sala de estar.,metro linear,6.13,17.0,104.21,2026-09-16,concluído
385,151,Gesso Liso,Parede Rebocada,Execução de gesso liso em área externa.,metro quadrado,57.39,20.0,1147.8,2025-12-12,concluído
386,23,Gesso Liso,Parede Pintada,Execução de gesso liso em área externa.,metro quadrado,23.21,22.0,510.62,2026-05-02,concluído
387,282,Forro Drywall,,Execução de forro drywall em cozinha.,metro quadrado,24.65,90.25,2224.66,2024-03-26,Concluido
388,325,Divisória Drywall,,"Serviço de divisória drywall solicitado para cozinha, imóvel residencial.",metro quadrado,60.44,130.0,7857.2,2025-11-04,concluído
389,127,Boiserie,,Execução de boiserie em galpão industrial.,metro linear,5.87,150.0,880.5,2025-07-15,concluído
390,6,Divisória Drywall,,"Serviço de divisória drywall solicitado para sala comercial, imóvel residencial.",metro quadrado,11.93,130.0,1550.9,2026-09-01,em andamento
391,49,Moldura de Gesso,15cm,"Moldura de Gesso - recepção da loja, conforme orçamento aprovado.",m linear,22.57,16.79,378.95,2025-09-14,concluído
392,283,Moldura de Gesso,10cm,"Moldura de Gesso - cozinha, conforme orçamento aprovado.",metro linear,25.0,15.0,375.0,2024-05-10,concluído
393,328,Sanca,,"Sanca - galpão industrial, conforme orçamento aprovado.",metro linear,39.06,95.0,3710.7,2025-09-15,concluído
394,267,Boiserie,,Execução de boiserie em quarto principal.,metro linear,37.84,138.94,5257.49,2026-05-28,concluído
395,85,Gesso 3D,,"Gesso 3D - recepção da loja, conforme orçamento aprovado.",metro quadrado,50.6,180.0,9108.0,2026-08-09,concluído
396,273,Gesso Liso,Parede Rebocada,Execução de gesso liso em sala comercial.,m2,60.53,20.0,1210.6,2026-07-21,concluído
397,271,Gesso Liso,Parede Pintada,"Serviço de gesso liso solicitado para escritório, imóvel residencial.",metro quadrado,59.41,22.0,1307.02,2024-06-21,concluído
398,27,Gesso Liso,Parede Rebocada,"Serviço de gesso liso solicitado para quarto principal, imóvel residencial.",metro quadrado,38.24,20.0,764.8,2024-04-25,concluído
399,324,Divisória Drywall,,"Serviço de divisória drywall solicitado para corredor, imóvel industrial.",metro quadrado,50.08,130.0,6510.4,2026-08-13,CONCLUÍDO
400,236,sanca,,Execução de sanca em recepção da loja.,metro linear,15.16,95.0,1440.2,2026-06-30,concluído
401,211,Moldura de Gesso,20cm,Execução de moldura de gesso em galpão industrial.,metro linear,7.58,20.0,151.6,2025-11-03,concluído
402,225,Divisória Drywall,,"Serviço de divisória drywall solicitado para escritório, imóvel residencial.",metro quadrado,57.16,130.0,7430.8,2026-02-04,concluído
403,170,Forro Drywall,,"Forro Drywall - corredor, conforme orçamento aprovado.",metro quadrado,76.98,95.0,7313.1,2025-05-05,CONCLUÍDO
404,205,Forro Drywall,,"Forro Drywall - galpão industrial, conforme orçamento aprovado.",metro quadrado,44.65,89.99,4018.05,2024-04-22,CONCLUÍDO
405,176,Gesso Liso,Parede Pintada,"Gesso Liso - escritório, conforme orçamento aprovado.",metro quadrado,38.8,22.0,853.6,2025-05-06,concluído
406,59,Divisória Drywall,,"Divisória Drywall - quarto principal, conforme orçamento aprovado.",metro quadrado,74.0,130.0,9620.0,2026-04-20,concluído
407,303,Divisória Drywall,,Execução de divisória drywall em recepção da loja.,metro quadrado,54.94,130.0,7142.2,2025-02-14,concluído
408,209,Sanca,,"Serviço de sanca solicitado para sala de estar, imóvel residencial.",metro linear,22.42,,,2024-08-15,concluído
409,215,Gesso 3D,,"Gesso 3D - corredor, conforme orçamento aprovado.",metro quadrado,24.0,180.0,4320.0,2024-01-01,concluído
410,252,Divisória Drywall,,"Serviço de divisória drywall solicitado para galpão industrial, imóvel residencial.",metro quadrado,33.45,130.0,4348.5,2024-01-14,concluído
411,310,Gesso Liso,Parede de Tijolo,"Gesso Liso - área externa, conforme orçamento aprovado.",metro quadrado,34.1,30.0,1023.0,2025-01-28,concluído
412,98,Moldura de Gesso,20cm,Execução de moldura de gesso em escritório.,metro linear,10.14,20.0,202.8,2026-08-22,concluído
413,282,Divisória Drywall,,Execução de divisória drywall em quarto principal.,metro quadrado,61.64,138.0,8506.32,2025-07-27,CONCLUÍDO
414,258,Gesso Liso,Parede Rebocada,"Gesso Liso - sala de estar, conforme orçamento aprovado.",metro quadrado,68.06,20.0,1361.2,2026-09-17,orçado
415,254,Moldura de Gesso,15cm,"Serviço de moldura de gesso solicitado para recepção da loja, imóvel residencial.",metro linear,28.33,,,2024-06-18,concluído
416,293,Sanca,,"Serviço de sanca solicitado para escritório, imóvel residencial.",metro linear,11.06,99.53,1100.8,2025-04-11,concluído
417,24,Divisória Drywall,,Execução de divisória drywall em sala de estar.,metro quadrado,47.22,130.0,6138.6,2026-08-22,Concluido
418,60,Divisória Drywall,,"Serviço de divisória drywall solicitado para fachada comercial, imóvel residencial.",metro quadrado,4.11,130.0,534.3,2025-01-12,concluído
419,30,Forro Drywall,,"Forro Drywall - sala comercial, conforme orçamento aprovado.",metro quadrado,54.7,95.0,5196.5,2026-01-18,CONCLUÍDO
420,196,Moldura de Gesso,7cm,"Moldura de Gesso - fachada comercial, conforme orçamento aprovado.",metro linear,37.99,12.0,455.88,2025-09-10,concluído
421,80,Moldura de Gesso,7cm,Execução de moldura de gesso em cozinha.,metro linear,19.5,12.0,234.0,2024-05-31,Concluido
422,93,Gesso Liso,Parede Rebocada,Execução de gesso liso em cozinha.,metro quadrado,56.45,20.0,1129.0,2024-06-30,concluído
423,207,Gesso Liso,Parede Pintada,"Gesso Liso - sala de estar, conforme orçamento aprovado.",metro quadrado,12.12,23.14,280.46,2025-09-09,concluído
424,43,Sanca,,Execução de sanca em galpão industrial.,metro linear,12.9,95.0,1225.5,2026-03-22,CONCLUÍDO
425,289,Forro Drywall,,Execução de forro drywall em sala comercial.,metro quadrado,76.28,95.0,7246.6,2025-05-05,concluído
426,262,Forro Drywall,,"Forro Drywall - fachada comercial, conforme orçamento aprovado.",metro quadrado,75.8,95.0,7201.0,2024-08-17,concluído
427,58,Moldura de Gesso,20cm,Execução de moldura de gesso em quarto principal.,metro linear,21.2,20.0,424.0,2026-09-06,concluído
428,92,Gesso Liso,Parede de Tijolo,Execução de gesso liso em fachada comercial.,metro quadrado,38.72,30.0,1161.6,2025-03-11,concluído
429,189,Gesso Liso,Parede Rebocada,"Serviço de gesso liso solicitado para cozinha, imóvel residencial.",metro quadrado,79.56,20.0,1591.2,2024-03-19,concluído
430,245,Moldura de Gesso,10cm,"Serviço de moldura de gesso solicitado para cozinha, imóvel industrial.",metro linear,33.14,15.0,497.1,2026-01-14,concluído
431,212,Forro Drywall,,"Serviço de forro drywall solicitado para corredor, imóvel residencial.",metro quadrado,52.74,95.0,5010.3,2026-08-24,concluído
432,197,Moldura de Gesso,15cm,Execução de moldura de gesso em escritório.,metro linear,6.09,17.0,103.53,2026-03-06,concluído
433,286,Sanca,,Execução de sanca em cozinha.,metro linear,20.54,95.0,1951.3,2026-07-22,concluído
434,216,Gesso Liso,Parede Rebocada,"Serviço de gesso liso solicitado para sala de estar, imóvel residencial.",metro quadrado,23.64,20.0,472.8,2024-05-21,concluído
435,340,Gesso Liso,Parede Pintada,"Serviço de gesso liso solicitado para quarto principal, imóvel residencial.",metro quadrado,51.11,22.0,1124.42,2024-06-10,concluído
436,72,Divisória Drywall,,Execução de divisória drywall em sala de estar.,metro quadrado,64.6,130.0,8398.0,2025-02-25,concluído
437,310,Gesso Liso,Parede Pintada,"Gesso Liso - fachada comercial, conforme orçamento aprovado.",metro quadrado,64.84,22.0,1426.48,2026-05-02,concluído
438,81,Divisória Drywall,,Execução de divisória drywall em sala de estar.,metro quadrado,26.02,130.0,3382.6,2026-08-31,em andamento
439,310,Boiserie,,"Boiserie - sala de estar, conforme orçamento aprovado.",metro linear,34.14,150.0,5121.0,2024-11-16,concluído
440,54,Divisória Drywall,,"Serviço de divisória drywall solicitado para sala de estar, imóvel industrial.",metro quadrado,10.3,111.41,1147.52,2024-10-15,concluído
441,17,Divisória Drywall,,"Serviço de divisória drywall solicitado para galpão industrial, imóvel residencial.",metro quadrado,23.47,130.0,3051.1,15/02/2024,concluído
442,145,Forro Drywall,,"Forro Drywall - quarto principal, conforme orçamento aprovado.",metro quadrado,81.66,95.0,7757.7,2025-02-04,concluído
443,77,Gesso Liso,Parede Rebocada,"Gesso Liso - corredor, conforme orçamento aprovado.",metro quadrado,5.92,20.0,118.4,2026-06-08,Concluido
444,111,Moldura de Gesso,7cm,"Serviço de moldura de gesso solicitado para sala comercial, imóvel industrial.",metro linear,32.88,10.68,351.16,2026-09-13,concluído
445,149,Sanca,,Execução de sanca em área externa.,metro linear,16.33,95.0,1551.35,2026-07-01,concluído
446,50,Boiserie,,Execução de boiserie em cozinha.,metro linear,32.77,148.02,4850.62,2026-09-19,orçado
447,181,Gesso Liso,Parede de Tijolo,"Gesso Liso - cozinha, conforme orçamento aprovado.",metro quadrado,11.23,27.43,308.04,2025-04-29,CONCLUÍDO
448,147,Forro Drywall,,"Forro Drywall - quarto principal, conforme orçamento aprovado.",metro quadrado,36.48,83.81,3057.39,2025-01-10,concluído
449,22,Moldura de Gesso,20cm,"Serviço de moldura de gesso solicitado para recepção da loja, imóvel residencial.",metro linear,25.96,18.22,472.99,2026-04-20,concluído
450,237,Divisória Drywall,,"Serviço de divisória drywall solicitado para quarto principal, imóvel industrial.",metro quadrado,58.2,130.0,7566.0,2025-07-01,Concluido
451,169,Divisória Drywall,,"Serviço de divisória drywall solicitado para sala de estar, imóvel residencial.",metro quadrado,9.22,130.0,1198.6,2024-08-05,concluído
452,291,Divisória Drywall,,Execução de divisória drywall em escritório.,metro quadrado,6.54,130.0,850.2,2026-08-16,concluído
453,139,Gesso Liso,Parede Pintada,"Gesso Liso - recepção da loja, conforme orçamento aprovado.",metro quadrado,24.42,22.0,537.24,2024-10-07,concluído
454,28,Divisória Drywall,,"Divisória Drywall - corredor, conforme orçamento aprovado.",metro quadrado,11.49,130.0,1493.7,2026-02-10,concluído
455,224,Boiserie,,"Serviço de boiserie solicitado para área externa, imóvel residencial.",metro linear,16.12,150.0,2418.0,2024-01-11,concluído
456,163,Moldura de Gesso,15cm,"Moldura de Gesso - recepção da loja, conforme orçamento aprovado.",metro linear,3.52,,,26/05/2025,Concluido
457,65,Forro Drywall,,"Forro Drywall - sala comercial, conforme orçamento aprovado.",metro quadrado,55.38,95.0,5261.1,2024-02-07,concluído
458,98,Forro Drywall,,"Forro Drywall - quarto principal, conforme orçamento aprovado.",metro quadrado,82.71,95.0,7857.45,2026-04-13,concluído
459,181,Forro Drywall,,"Forro Drywall - galpão industrial, conforme orçamento aprovado.",metro quadrado,32.53,95.0,3090.35,2026-02-22,concluído
460,146,Forro Drywall,,Execução de forro drywall em quarto principal.,metro quadrado,72.45,95.0,6882.75,2024-10-17,concluído
461,211,Sanca,,"Serviço de sanca solicitado para sala de estar, imóvel residencial.",metro linear,6.84,95.0,649.8,2025-07-11,concluído
462,283,Moldura de Gesso,10cm,"Serviço de moldura de gesso solicitado para recepção da loja, imóvel residencial.",metro linear,17.1,15.0,256.5,2024-05-07,concluído
463,138,Gesso Liso,Parede Rebocada,Execução de gesso liso em sala de estar.,m2,75.25,20.98,1578.75,2025-02-28,concluído
464,266,Moldura de Gesso,15cm,"Moldura de Gesso - recepção da loja, conforme orçamento aprovado.",metro linear,33.34,17.0,566.78,2026-09-09,concluído
465,296,Sanca,,"Sanca - recepção da loja, conforme orçamento aprovado.",metro linear,18.88,95.0,1793.6,2026-01-15,concluído
466,324,Gesso Liso,Parede Rebocada,Execução de gesso liso em quarto principal.,metro quadrado,50.73,21.58,1094.75,2026-05-07,concluído
467,15,Gesso Liso,Parede de Tijolo,"Serviço de gesso liso solicitado para corredor, imóvel residencial.",metro quadrado,54.07,,,2025-08-08,concluído
468,114,Gesso Liso,Parede Pintada,Execução de gesso liso em sala de estar.,metro quadrado,28.05,22.0,617.1,2026-03-09,concluído
469,297,Gesso Liso,Parede Pintada,"Serviço de gesso liso solicitado para quarto principal, imóvel residencial.",metro quadrado,74.22,,,2024-05-05,concluído
470,52,Divisória Drywall,,"Divisória Drywall - recepção da loja, conforme orçamento aprovado.",metro quadrado,43.77,130.0,5690.1,2026-09-09,concluído
471,93,Moldura de Gesso,15cm,"Moldura de Gesso - galpão industrial, conforme orçamento aprovado.",m linear,14.05,17.0,238.85,2025-10-08,concluído
472,268,Sanca,,Execução de sanca em escritório.,metro linear,30.44,95.0,2891.8,2024-01-31,concluído
473,71,Sanca,,"Serviço de sanca solicitado para sala comercial, imóvel residencial.",metro linear,11.13,,,2024-10-01,concluído
474,263,Gesso Liso,Parede Rebocada,"Gesso Liso - recepção da loja, conforme orçamento aprovado.",metro quadrado,80.65,20.0,1613.0,2024-07-21,concluído
475,250,Moldura de Gesso,10cm,"Serviço de moldura de gesso solicitado para recepção da loja, imóvel residencial.",metro linear,19.04,15.0,285.6,2024-10-05,concluído
476,33,Gesso Liso,Parede de Tijolo,Execução de gesso liso em sala comercial.,metro quadrado,40.4,,,2024-09-16,concluído
477,220,Moldura de Gesso,15cm,Execução de moldura de gesso em sala de estar.,metro linear,32.26,17.0,548.42,2025-11-03,concluído
478,291,Divisória Drywall,,"Divisória Drywall - sala comercial, conforme orçamento aprovado.",metro quadrado,68.41,130.0,8893.3,2025-01-29,concluído
479,39,Moldura de Gesso,15cm,"Serviço de moldura de gesso solicitado para corredor, imóvel residencial.",metro linear,24.24,17.0,412.08,2025-03-21,concluído
480,88,Sanca,,"Serviço de sanca solicitado para sala de estar, imóvel industrial.",metro linear,25.25,95.0,2398.75,2024-01-22,concluído
481,19,Boiserie,,"Serviço de boiserie solicitado para recepção da loja, imóvel residencial.",metro linear,36.15,150.0,5422.5,2025-10-22,concluído
482,41,Forro Drywall,,"Forro Drywall - quarto principal, conforme orçamento aprovado.",metro quadrado,49.07,95.0,4661.65,2025-02-06,concluído
483,6,Divisória Drywall,,"Divisória Drywall - galpão industrial, conforme orçamento aprovado.",metro quadrado,15.24,134.04,2042.77,2024-08-19,concluído
484,27,Gesso 3D,,Execução de gesso 3d em recepção da loja.,metro quadrado,25.03,180.0,4505.4,2026-08-27,concluído
485,62,Gesso Liso,Parede de Tijolo,"Gesso Liso - sala comercial, conforme orçamento aprovado.",metro quadrado,14.23,32.16,457.64,2026-09-16,em andamento
486,144,Gesso Liso,Parede Rebocada,"Gesso Liso - escritório, conforme orçamento aprovado.",metro quadrado,30.07,20.0,601.4,2024-09-27,concluído
487,39,Gesso Liso,Parede Pintada,"Gesso Liso - galpão industrial, conforme orçamento aprovado.",metro quadrado,82.71,22.0,1819.62,2024-08-09,concluído
488,161,Gesso Liso,Parede Rebocada,"Serviço de gesso liso solicitado para galpão industrial, imóvel residencial.",metro quadrado,65.6,20.0,1312.0,2024-06-06,concluído
489,205,Gesso Liso,Parede Rebocada,"Gesso Liso - corredor, conforme orçamento aprovado.",metro quadrado,19.22,20.0,384.4,2024-11-10,CONCLUÍDO
490,236,Sanca,,Execução de sanca em galpão industrial.,metro linear,9.92,95.0,942.4,2025-04-08,concluído
491,171,Forro Drywall,,"Forro Drywall - escritório, conforme orçamento aprovado.",metro quadrado,8.31,95.0,789.45,2025-10-26,concluído
492,266,Gesso Liso,Parede de Tijolo,Execução de gesso liso em sala de estar.,metro quadrado,39.12,30.0,1173.6,2026-09-08,em andamento
493,116,Sanca,,Execução de sanca em fachada comercial.,metro linear,35.66,95.0,3387.7,2025-02-06,concluído
494,148,Forro Drywall,,"Forro Drywall - fachada comercial, conforme orçamento aprovado.",metro quadrado,61.17,95.0,5811.15,2024-07-08,concluído
495,36,Forro Drywall,,"Serviço de forro drywall solicitado para sala de estar, imóvel residencial.",metro quadrado,17.5,95.0,1662.5,2026-09-12,em andamento
496,5,Divisória Drywall,,"Serviço de divisória drywall solicitado para sala de estar, imóvel residencial.",metro quadrado,52.11,130.0,6774.3,2025-05-15,Concluido
497,86,Gesso Liso,Parede Rebocada,"Serviço de gesso liso solicitado para sala comercial, imóvel residencial.",metro quadrado,65.15,20.0,1303.0,2026-04-03,concluído
498,181,Forro Drywall,,"Forro Drywall - quarto principal, conforme orçamento aprovado.",metro quadrado,28.39,95.0,2697.05,2025-11-10,Concluido
499,211,Sanca,,"Sanca - recepção da loja, conforme orçamento aprovado.",metro linear,34.68,95.0,3294.6,2025-05-24,concluído
500,194,Gesso 3D,,"Gesso 3D - cozinha, conforme orçamento aprovado.",metro quadrado,55.74,183.55,10231.08,2026-07-09,Concluido
501,302,Forro Drywall,,"Serviço de forro drywall solicitado para quarto principal, imóvel residencial.",metro quadrado,37.8,95.0,3591.0,2024-02-12,concluído
502,178,Moldura de Gesso,10cm,"Moldura de Gesso - fachada comercial, conforme orçamento aprovado.",metro linear,13.67,15.0,205.05,2025-12-02,concluído
503,34,Forro Drywall,,"Forro Drywall - sala de estar, conforme orçamento aprovado.",metro quadrado,68.78,95.0,6534.1,2024-10-16,concluído
504,71,Sanca,,Execução de sanca em cozinha.,metro linear,15.96,96.55,1540.94,2026-02-26,concluído
505,149,Gesso 3D,,"Serviço de gesso 3d solicitado para quarto principal, imóvel industrial.",metro quadrado,21.73,180.0,3911.4,2026-04-11,concluído
506,224,Divisória Drywall,,Execução de divisória drywall em escritório.,metro quadrado,58.99,130.0,7668.7,2025-11-30,concluído
507,237,Gesso 3D,,"Serviço de gesso 3d solicitado para galpão industrial, imóvel residencial.",metro quadrado,48.21,172.66,8323.94,2024-05-21,concluído
508,237,Boiserie,,"Serviço de boiserie solicitado para escritório, imóvel residencial.",metro linear,4.02,,,2025-03-07,concluído
509,290,Gesso Liso,Parede Rebocada,Execução de gesso liso em corredor.,metro quadrado,75.1,17.63,1324.01,2025-11-17,concluído
510,333,Moldura de Gesso,15cm,Execução de moldura de gesso em sala comercial.,metro linear,6.96,16.85,117.28,2025-12-08,concluído
511,288,Gesso Liso,Parede Rebocada,"Gesso Liso - sala de estar, conforme orçamento aprovado.",metro quadrado,63.97,20.0,1279.4,2025-11-22,concluído
512,1,Sanca,,Execução de sanca em corredor.,metro linear,8.66,95.0,822.7,2024-09-10,concluído
513,95,Forro Drywall,,"Forro Drywall - quarto principal, conforme orçamento aprovado.",metro quadrado,70.44,95.0,6691.8,2026-04-21,concluído
514,337,Sanca,,"Sanca - área externa, conforme orçamento aprovado.",metro linear,11.91,95.0,1131.45,2024-07-24,concluído
515,55,forro drywall,,"Forro Drywall - fachada comercial, conforme orçamento aprovado.",metro quadrado,41.58,95.0,3950.1,2024-10-17,concluído
516,22,Gesso Liso,Parede de Tijolo,"Gesso Liso - galpão industrial, conforme orçamento aprovado.",metro quadrado,77.56,30.0,2326.8,2026-06-22,concluído
517,269,Gesso 3D,,"Gesso 3D - cozinha, conforme orçamento aprovado.",metro quadrado,35.64,180.0,6415.2,2024-12-26,concluído
518,331,Forro Drywall,,"Forro Drywall - sala comercial, conforme orçamento aprovado.",metro quadrado,43.18,95.0,4102.1,2024-07-03,concluído
519,179,Boiserie,,"Boiserie - quarto principal, conforme orçamento aprovado.",metro linear,24.63,150.0,3694.5,2024-01-31,Concluido
520,122,Moldura de Gesso,10cm,Execução de moldura de gesso em sala de estar.,metro linear,6.9,14.19,97.91,2025-03-06,Concluido
521,324,Forro Drywall,,"Serviço de forro drywall solicitado para sala comercial, imóvel residencial.",metro quadrado,72.1,95.0,6849.5,2025-12-16,concluído
522,116,Gesso Liso,Parede Pintada,Execução de gesso liso em quarto principal.,m2,20.3,23.15,469.94,2024-07-15,concluído
523,209,Forro Drywall,,Execução de forro drywall em corredor.,metro quadrado,50.03,95.0,4752.85,2025-11-29,concluído
524,181,Forro Drywall,,"Forro Drywall - quarto principal, conforme orçamento aprovado.",metro quadrado,32.88,99.79,3281.1,2025-03-25,concluído
525,119,Sanca,,Execução de sanca em galpão industrial.,metro linear,4.9,95.0,465.5,2026-04-21,Concluido
526,295,Sanca,,"Serviço de sanca solicitado para quarto principal, imóvel residencial.",metro linear,11.93,95.0,1133.35,2024-11-15,concluído
527,216,Sanca,,Execução de sanca em sala de estar.,metro linear,12.65,84.06,1063.36,2025-07-14,concluído
528,313,Gesso Liso,Parede de Tijolo,"Serviço de gesso liso solicitado para quarto principal, imóvel industrial.",metro quadrado,60.95,30.0,1828.5,2024-03-13,Concluido
529,22,Divisória Drywall,,Execução de divisória drywall em escritório.,metro quadrado,12.43,130.0,1615.9,2024-12-24,concluído
530,101,Moldura de Gesso,10cm,"Serviço de moldura de gesso solicitado para recepção da loja, imóvel residencial.",metro linear,22.76,15.0,341.4,2026-01-25,concluído
531,60,Gesso Liso,Parede Rebocada,"Gesso Liso - escritório, conforme orçamento aprovado.",metro quadrado,39.47,,,11/01/2025,concluído
532,275,Forro Drywall,,Execução de forro drywall em corredor.,metro quadrado,50.01,95.0,4750.95,2026-01-07,concluído
533,126,Gesso Liso,Parede de Tijolo,"Gesso Liso - sala comercial, conforme orçamento aprovado.",metro quadrado,84.85,30.0,2545.5,2025-11-04,concluído
534,113,Forro Drywall,,"Forro Drywall - fachada comercial, conforme orçamento aprovado.",metro quadrado,39.93,95.0,3793.35,2025-07-18,concluído
535,211,Sanca,,Execução de sanca em fachada comercial.,metro linear,29.1,95.0,2764.5,2024-07-27,Concluido
536,73,Moldura de Gesso,7cm,"Moldura de Gesso - sala de estar, conforme orçamento aprovado.",metro linear,4.33,12.0,51.96,2026-02-21,concluído
537,44,Moldura de Gesso,15cm,"Moldura de Gesso - escritório, conforme orçamento aprovado.",metro linear,5.21,17.0,88.57,2024-01-20,Concluido
538,157,Sanca,,"Sanca - fachada comercial, conforme orçamento aprovado.",metro linear,4.16,,,2026-07-20,concluído
539,319,Sanca,,"Sanca - fachada comercial, conforme orçamento aprovado.",metro linear,19.06,98.22,1872.07,2024-02-28,concluído
540,291,Gesso Liso,Parede de Tijolo,"Gesso Liso - sala de estar, conforme orçamento aprovado.",metro quadrado,66.29,,,2025-04-23,concluído
541,128,Sanca,,"Serviço de sanca solicitado para área externa, imóvel residencial.",metro linear,31.54,95.0,2996.3,2024-02-09,concluído
542,136,Forro Drywall,,Execução de forro drywall em sala comercial.,metro quadrado,72.66,95.0,6902.7,2024-01-10,concluído
543,313,Sanca,,Execução de sanca em cozinha.,metro linear,23.4,95.0,2223.0,2024-09-21,concluído
544,26,Gesso Liso,Parede de Tijolo,"Gesso Liso - escritório, conforme orçamento aprovado.",metro quadrado,22.85,30.0,685.5,2025-06-02,Concluido
545,9,Boiserie,,"Boiserie - sala comercial, conforme orçamento aprovado.",metro linear,28.1,150.0,4215.0,2026-01-05,concluído
546,293,divisória drywall,,"Serviço de divisória drywall solicitado para área externa, imóvel industrial.",metro quadrado,34.08,130.0,4430.4,2025-10-19,concluído
547,192,Moldura de Gesso,20cm,"Moldura de Gesso - área externa, conforme orçamento aprovado.",metro linear,20.42,20.0,408.4,2024-06-13,concluído
548,261,Forro Drywall,,"Forro Drywall - recepção da loja, conforme orçamento aprovado.",m2,67.46,,,2025-01-22,concluído
549,115,Sanca,,"Sanca - sala comercial, conforme orçamento aprovado.",metro linear,23.92,95.0,2272.4,2026-01-21,concluído
550,226,Gesso Liso,Parede Rebocada,"Serviço de gesso liso solicitado para galpão industrial, imóvel residencial.",metro quadrado,29.67,20.0,593.4,2026-07-21,concluído
551,124,Sanca,,"Serviço de sanca solicitado para corredor, imóvel residencial.",metro linear,19.47,95.0,1849.65,2024-03-22,concluído
552,65,Divisória Drywall,,"Serviço de divisória drywall solicitado para galpão industrial, imóvel residencial.",metro quadrado,78.98,132.41,10457.74,2025-11-12,concluído
553,295,Boiserie,,"Boiserie - fachada comercial, conforme orçamento aprovado.",m linear,21.29,150.0,3193.5,2024-07-03,Concluido
554,65,Moldura de Gesso,7cm,"Serviço de moldura de gesso solicitado para recepção da loja, imóvel industrial.",metro linear,35.17,12.0,422.04,2024-06-19,CONCLUÍDO
555,124,Gesso Liso,Parede Pintada,"Serviço de gesso liso solicitado para quarto principal, imóvel residencial.",metro quadrado,61.67,23.64,1457.88,2025-08-28,concluído
556,323,Gesso 3D,,"Gesso 3D - área externa, conforme orçamento aprovado.",metro quadrado,40.43,180.0,7277.4,2025-05-03,concluído
